CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
549,Bergamo,378,5,139,-378,-230.92,NA,NA,NA,NA,-0.05,1,0,-510
550,Alessandria,377,5,692,-120,-13.78,-138.61,NA,-18.62,-25.25,3.61,0.81,0.19,184
551,Alessandria,375,11,3346,-424,-12.5,NA,NA,NA,NA,-1.68,0.89,0.11,-3
552,Milano,374,5,385,-38,-5.37,-40.06,NA,-22,-5.47,0,1,0,205
553,Varese,372,7,342,-4,2.94,-3.51,-43.19,4.9,2.71,0.66,0.92,0.08,112
554,Vicenza,372,6,358,4,7.66,3.92,15.79,13.91,7.38,0.4,0.81,0.19,135
555,Vicenza,371,0,175,34,20.6,25.49,93.16,26.53,9.7,0,0.84,0.16,136
556,Vicenza,366,14,425,2,2.88,1.06,16.53,NA,3.22,NA,0.76,0.24,136
557,Udine,364,6,220,4,4.34,54.51,45.15,NA,2.49,0.89,1,0,30
558,Alessandria,363,2,1296,21,4.82,14.05,34.09,5.45,16.79,1.37,0.26,0.74,933
559,Alessandria,362,4,589,1,3.57,4.7,5.92,NA,5.08,NA,0.95,0.05,52
560,Alessandria,358,3,1191,30,4.13,9.21,61.27,5.24,13.73,1.22,0.39,0.61,841
561,Vicenza,353,6,727,23,2.52,4.25,127.61,NA,5.13,NA,1,0,438
562,Vicenza,352,2,720,-53,-4.54,NA,NA,NA,-8.47,NA,0.83,0.17,-259
563,Milano,350,2,252,0,1.17,0.07,4.91,1.48,0.84,0,1,0,213
564,Padova,350,7,232,-55,-25.69,NA,NA,NA,-16.95,NA,0.85,0.15,12
565,Padova,350,0,164,-96,-10.71,NA,NA,NA,-4.99,-0.91,1,0,-89
566,Vicenza,347,8,1378,-29,0.13,-6.37,NA,0.2,0.47,0.93,0.61,0.39,424
567,Lecco,344,5,268,18,11.23,20.87,61.29,NA,8.75,NA,1,0,84
568,Vicenza,344,4,875,-3,-31.34,-4.43,NA,NA,NA,1.63,0.73,0.27,6
569,Alessandria,343,6,1452,4,0.65,0.33,42.71,NA,2.74,NA,1,0,1249
570,Alessandria,341,1,726,-20,-0.76,-20.92,NA,NA,-1.59,NA,0.15,0.85,610
571,Alessandria,340,NA,918,-25,-2.11,-5.52,NA,NA,-5.63,NA,0.57,0.43,449
572,Monza e della Brianza,339,7,242,26,17.03,27.88,62.92,26.42,12.14,0.59,0.59,0.41,75
573,Vicenza,337,3,13033,-249,-2.98,NA,NA,-8.3,NA,-1.23,1,0,-25185
574,Padova,337,7,336,3,2.35,20.58,31.79,4.2,2.15,7.14,0.98,0.02,3
575,Alessandria,337,0,1616,75,6.88,6.33,67.15,7.37,NA,0,0.25,0.75,1244
576,Alessandria,334,6,587,-103,-15.97,NA,NA,NA,-27.93,NA,1,0,42
577,Alessandria,332,6,2374,-230,-8.67,NA,NA,NA,NA,NA,0.86,0.14,500
578,Milano,330,5,360,3,6.35,5.58,12.37,20.45,6.9,1.2,0.68,0.32,114
579,Milano,330,NA,505,-695,-123.01,NA,NA,NA,NA,-0.72,0.96,0.04,-557
580,Vicenza,328,3,558,2,0.92,1.11,29.88,NA,1.49,NA,0.06,0.94,472
581,Alessandria,327,6,348,1,1.9,-1.58,20.81,NA,1.97,NA,1,0,-104
582,Milano,326,1,197,-25,-12.01,-23.7,NA,-17.74,-6.83,0.25,0.88,0.12,103
583,Alessandria,322,NA,90,-20,-5.99,NA,NA,-10.74,-1.15,48.83,1,0,-45
584,Milano,321,2,329,39,18.06,41.95,65.54,NA,17.7,NA,1,0,-51
585,Alessandria,321,6,497,-52,-6.51,-37.21,NA,-9.62,-9.96,1.39,0.86,0.14,199
586,Alessandria,320,10,667,-6,3.27,-2.34,-25.94,4.15,6.75,1.18,0.34,0.66,135
587,Alessandria,318,2,350,20,9.16,7.4,61.16,NA,10.03,NA,1,0,233
588,Milano,318,NA,347,-25,-7.03,-21.69,NA,-12.53,-7.4,0,0.38,0.62,249
589,Vicenza,315,7,87,-66,-60.22,NA,NA,NA,-16.56,-2.01,1,0,-33
590,Alessandria,313,3,441,65,22.88,22.45,64.42,NA,NA,NA,0.69,0.31,340
591,Vicenza,312,6,173,-61,-21.74,NA,NA,NA,-12.07,-1.58,0.92,0.08,-16
592,Rimini,305,5,506,-103,-16.03,NA,NA,NA,-26.57,NA,0.89,0.11,-105
593,Vicenza,304,3,389,-594,-145.63,NA,NA,NA,NA,-0.99,1,0,-480
594,Vicenza,303,6,564,4,2.73,16.6,22.96,5.42,5.02,8.03,1,0,30
595,Venezia,302,NA,348,-22,-2.37,NA,NA,-3.85,-2.67,-4.42,0.95,0.05,-57
596,Alessandria,301,5,364,-2,3.7,-1.84,-11.4,7.35,4.35,1.19,0.88,0.12,68
597,Milano,300,2,707,-403,-50.98,NA,NA,NA,NA,NA,0.7,0.3,10
598,Alessandria,300,2,894,38,3.34,10.12,126.09,3.61,9.95,0.29,0.28,0.72,729
599,Monza e della Brianza,297,NA,178,-9,2.87,NA,-182.38,8.26,1.68,-12.94,0.44,0.56,35
600,Alessandria,297,3,1639,22,1.81,21.29,74.26,6.64,8.47,3.32,1,0,-65
601,Bergamo,296,1,149,-42,-27.66,NA,NA,NA,-13.91,NA,1,0,-20
602,Alessandria,296,3,693,-103,2.5,-28.18,NA,3.1,5.84,0.53,0.78,0.22,444
603,Milano,295,2,1137,-300,-26.28,NA,NA,NA,NA,NA,0.54,0.46,-58
604,Milano,295,5,255,3,0.82,1.32,126.68,1.04,0.69,0,1,0,203
605,Trento,293,2,336,15,5.21,11.79,84.56,13.94,5.93,0,1,0,143
606,Milano,293,2,844,0,-6.88,0.92,-0.28,NA,-19.73,1.88,1,0,-26
607,Alessandria,293,0,252,-1,-0.26,-0.85,NA,-0.26,-0.22,0,0.04,0.96,240
608,Alessandria,293,NA,720,-173,-15.87,NA,NA,NA,-38.67,NA,0.67,0.33,5
609,Alessandria,289,3,305,33,17.34,56.55,61.65,NA,18.33,1.13,0.97,0.03,-35
610,Vicenza,288,1,187,12,8.59,35.32,73.62,NA,5.59,NA,0.93,0.07,23
611,Milano,287,1,459,3,2.86,2.24,22.92,4.42,4.56,1.21,1,0,51
612,Alessandria,287,4,690,-41,-1.16,NA,NA,-4.35,-1.68,12.76,0.86,0.14,86
613,Bologna,286,3,213,3,4.95,17.57,23.82,8.01,3.56,4.28,0.96,0.04,-23
614,Vicenza,285,NA,1854,-414,-21.73,NA,NA,NA,NA,NA,0.51,0.49,-698
615,Milano,285,3,97,7,26.25,9,26.63,NA,8.93,NA,1,0,70
616,Vicenza,284,4,122,7,13.09,41.15,43.86,19.09,5.6,3.03,0.78,0.22,-4
617,Alessandria,283,4,186,23,22.71,53.93,55.05,NA,14.86,NA,0.72,0.28,-1
618,Alessandria,282,2,974,-3568,-363.23,NA,NA,NA,NA,-0.79,0.7,0.3,-2112
619,Padova,282,0,495,-1,0.33,-7.23,-41.22,1.55,0.58,10.33,0.92,0.08,-4
620,Vicenza,282,7,47,-49,-59.08,NA,NA,NA,-9.24,-14.59,1,0,-1
